Name,movie count,Avg_rating,awards count
Adele,14,7.0,55
Angelina Jolie,64,6.1,78
Aretha Franklin,21,6.8,35
Bette Davis,123,6.9,34
Betty White,126,6.7,40
Bing Crosby,106,6.5,18
Bob Hope,95,6.6,39
Carol Burnett,84,7.1,54
Carole Lombard,78,6.4,1
Carrie Fisher,94,6.7,8
Cary Grant,77,6.7,13
Charlie Chaplin,94,6.2,26
Clara Bow,59,6.3,1
Clark Gable,82,6.4,4
David Letterman,NA,0.0,39
Debbie Reynolds,87,6.4,25
Denzel Washington,61,6.8,106
Dick Van Dyke,81,6.8,21
Donald Sutherland,198,6.4,23
Dustin Hoffman,85,6.9,65
Ed Sullivan,16,6.4,3
Eddie Murphy,72,6.1,56
Elton John,137,6.9,43
Elvis Presley,31,5.8,18
Frank Sinatra,71,6.4,46
Gene Hackman,102,6.7,35
George Michael,52,6.8,11
Gregory Peck,58,6.9,35
Greta Garbo,33,6.6,12
Humphrey Bogart,84,6.6,13
James Dean,32,7.3,7
Jay Leno,NA,0.0,7
Jennifer Aniston,72,6.3,59
Jerry Seinfeld,29,6.8,25
Jimmy Page,17,6.1,3
Jimmy Stewart,102,6.9,32
Joan Crawford,109,5.9,12
John Lennon,89,6.9,41
John Wayne,184,6.3,28
Johnny Carson,NA,0.0,16
Johnny Depp,102,6.8,99
Justin Timberlake,91,6.3,115
Katherine Hepburn,53,6.7,30
Keifer Sutherland,104,6.4,28
Kirk Douglas,94,6.8,35
Lady Gaga,12,7.2,141
Leonard Bernstein,NA,0.0,54
Leonardo DiCaprio,46,7.1,138
Louis Armstrong,35,6.5,2
Madonna,74,6.7,83
Mariah Carey,138,4.2,132
Marlon Brando,48,7.0,35
Mary Tyler Moore,79,6.9,30
Meryl Streep,94,6.8,226
Mick Jagger,17,6.6,11
Morgan Freeman,141,6.6,69
Oprah Winfrey,NA,0.0,60
Paul McCartney,NA,0.0,69
Paul Newman,85,6.9,40
Peter O'Toole,99,6.6,29
Prince,61,6.9,46
Robert Redford,83,7.0,44
Sidney Poitier,55,6.8,30
Sly Stone,1,7.0,1
Stevie Wonder,33,6.3,66
Tom Hanks,93,7.0,106
Tony Bennett,31,7.0,32
Wayne Newton,44,6.5,1
Will Smith,73,5.4,115
Willie Nelson,75,6.3,72
