Name,Known For
Kamal Haasan,Vishwaroopam
Shivaji Ganesan,Deiva Magan
M.G. Ramachandran,Nadodi Mannan
Gemini Ganesan,Naan Avanillai
Vikram,I
Nassar,Bãhubali 2: The Conclusion
Nagesh,Nammavar
Dhanush,Raanjhanaa
Vijay Sethupathi,96
Sivakumar,Agni Sakshi
Prakash Raj,Anniyan
Rajinikanth,Enthiran
Karthik,Agni Natchathiram
Suriya,24
Vijayakanth,Amman Koil Kizhakkaalae
Sarath Kumar,Nattamai
Madhavan,Vikram Vedha
Arvind Swamy,Thani Oruvan
Sathyaraj,Bãhubali: The Beginning
Karthi,Kaithi
Joseph Vijay,Mersal
Ajith Kumar,Mankatha
Jayam Ravi,Thani Oruvan
Jiiva,83
Arun Vijay,Yennai Arindhaal
Anushka Shetty,Bãhubali 2: The Conclusion
Genelia D'Souza,Jaane Tu... Ya Jaane Na
Asin Thottumkal,Ghajini
Sameera Reddy,Vaaranam Aayiram
Priyamani,Paruthiveeran
Namitha,Billa
Meena,Drishyam
Sneha,Achchamundu! Achchamundu!
Shriya Saran,Drishyam
Trisha Krishnan,96
Nayanthara,Iru Mugan
Hansika Motwani,Desamuduru
Shruti Haasan,7 Aum Arivu
Tamannaah Bhatia,Bãhubali: The Beginning
Simran,Vaaranam Aayiram
Ramya Krishnan,Bãhubali: The Beginning
Kajal Aggarwal,Thuppakki
Nazriya Nazim,Bangalore Days
Anjali,Engeyum Eppodhum
Samantha Ruth Prabhu,Ye Maaya Chesave
